alunoid,campus,curso,anoingresso,periodoingresso,dataconclusao,forma_acesso_seletivo,rendabruta,ira,modalidade,genero,raca,idade,ficou_tempo_sem_estudar,razao_ausencia_educacional,quantidade_computadores,exclusivo_rede_publica,companhia_domiciliar,mae_nivel_escolaridade,pai_nivel_escolaridade,quantidade_notebooks,estado_civil,qtd_filhos,tipo_area_residencial,trabalha,situacao,pontuacao_seletivo,percentual_frequencia,reprovacoes,idioma
154065,MAR,Licenciatura em Ciências Agrárias,2022,1,,COT,400.0,0.0,Licenciatura,F,Preta,18,False,,0.0,False,Mãe,Ensino superior completo,Ensino superior incompleto,1.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,90,0,True
97862,SRM,Curso Licenciatura em Ciências Biológicas - São R. Mangabeiras,2018,1,,CON,347.0,8.75,Licenciatura,F,Parda,23,False,,0.0,False,Mãe,Ensino médio completo,Ensino fundamental incompleto,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,98,1,False
83406,MTC,Licenciatura em Química,2017,1,,CON,0.0,8.06,Licenciatura,F,Branca,25,False,,1.0,False,Mãe,Ensino superior completo,Ensino superior completo,2.0,Solteiro(a),0,Urbano,Trabalho informal/Bico,Matriculado,,97,0,True
81993,COD,Licenciatura em Matemática,2017,1,,,1200.0,3.94,Licenciatura,F,Branca,25,False,,1.0,False,Parentes,Ensino médio completo,Ensino médio completo,0.0,Solteiro(a),0,Urbano,Estágio ou bolsa,Cancelado,,100,0,True
85802,MTC,Licenciatura em Química EAD,2017,1,,,2000.0,0.95,Licenciatura,M,Branca,27,False,,0.0,False,Pais,Ensino médio completo,Ensino superior completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Cancelamento Compulsório,,100,0,True
112601,SRM,Curso Licenciatura em Ciências Biológicas - São R. Mangabeiras,2019,1,,CON,1450.0,8.81,Licenciatura,M,Preta,21,False,,0.0,False,Outro,Ensino médio completo,Ensino fundamental incompleto,1.0,Solteiro(a),0,Urbano,Empresa privada,Matriculado,,97,0,False
132289,ITZ,Bacharelado em Engenharia Elétrica  Imperatriz,2020,2,,CON,8000.0,8.18,Bacharelado,M,Branca,20,False,,2.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,98,1,True
119921,BTC,Buriticupu - Licenciatura em Matemática Enem,2020,2,,CON,4500.0,6.61,Licenciatura,M,Parda,30,False,,0.0,False,Parentes,Ensino médio completo,Ensino fundamental incompleto,1.0,Solteiro(a),0,Urbano,Serviço público,Matriculado,,95,4,False
155371,COD,Licenciatura em Ciências Biológicas,2022,1,,CON,0.0,0.0,Licenciatura,M,PRETA,18,False,,0.0,False,Mãe,Ensino fundamental incompleto,Não conhece,0.0,Solteiro(a),0,Rural,Nunca trabalhou,Matriculado,,100,0,False
117432,MTC,Engenharia Elétrica Industrial,2019,2,,COT,1946.12,7.49,Bacharelado,F,Preta,22,False,,0.0,False,Mãe,Ensino superior completo,Ensino superior completo,0.0,Solteiro(a),0,Urbano,Não está trabalhando,Matriculado,,96,3,False
